"providerName"	"providerId"	"dataSource"	"geneSymbol"	"geneId"	"geneIdType"	"proteinId"	"proteinIdType"	"organism"	"sequenceCount"	"bindingSequence"	"bindingDomain"	"tfFamily"	"experimentType"	"pubmedID"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HSF1_f2"	"HSF1_f2"	"HSF1_f2"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HSF1"	"9606"	"ENTREZ"	"Q00613"	"uniprot"	"Hsapiens"	2081	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HSF2_si"	"HSF2_si"	"HSF2_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HSF2"	"9606"	"ENTREZ"	"Q03933"	"uniprot"	"Hsapiens"	1040.00000000002	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HTF4_f1"	"HTF4_f1"	"HTF4_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HTF4"	"9606"	"ENTREZ"	"Q99081"	"uniprot"	"Hsapiens"	1522.74031629913	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HXA10_f1"	"HXA10_f1"	"HXA10_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HXA10"	"9606"	"ENTREZ"	"P31260"	"uniprot"	"Hsapiens"	10	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HXA13_f1"	"HXA13_f1"	"HXA13_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HXA13"	"9606"	"ENTREZ"	"P31271"	"uniprot"	"Hsapiens"	16.948051948052	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HXA1_f1"	"HXA1_f1"	"HXA1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HXA1"	"9606"	"ENTREZ"	"P49639"	"uniprot"	"Hsapiens"	8.00000000000001	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HXA5_si"	"HXA5_si"	"HXA5_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HXA5"	"9606"	"ENTREZ"	"P20719"	"uniprot"	"Hsapiens"	52.2855583139758	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HXA7_f1"	"HXA7_f1"	"HXA7_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HXA7"	"9606"	"ENTREZ"	"P31268"	"uniprot"	"Hsapiens"	18.9944134078212	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HXA9_f1"	"HXA9_f1"	"HXA9_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HXA9"	"9606"	"ENTREZ"	"P31269"	"uniprot"	"Hsapiens"	29	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HXB1_f1"	"HXB1_f1"	"HXB1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HXB1"	"9606"	"ENTREZ"	"P14653"	"uniprot"	"Hsapiens"	14.8401253918495	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HXB6_f1"	"HXB6_f1"	"HXB6_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HXB6"	"9606"	"ENTREZ"	"P17509"	"uniprot"	"Hsapiens"	7.00000000000001	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HXB7_si"	"HXB7_si"	"HXB7_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HXB7"	"9606"	"ENTREZ"	"P09629"	"uniprot"	"Hsapiens"	27.9883720930233	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HXB8_do"	"HXB8_do"	"HXB8_do"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HXB8"	"9606"	"ENTREZ"	"P17481"	"uniprot"	"Hsapiens"	26.4	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HXC6_f1"	"HXC6_f1"	"HXC6_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HXC6"	"9606"	"ENTREZ"	"P09630"	"uniprot"	"Hsapiens"	7	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HXC8_f1"	"HXC8_f1"	"HXC8_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HXC8"	"9606"	"ENTREZ"	"P31273"	"uniprot"	"Hsapiens"	9.00000000000001	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HXD10_f1"	"HXD10_f1"	"HXD10_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HXD10"	"9606"	"ENTREZ"	"P28358"	"uniprot"	"Hsapiens"	7.00000000000001	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HXD13_f1"	"HXD13_f1"	"HXD13_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HXD13"	"9606"	"ENTREZ"	"P35453"	"uniprot"	"Hsapiens"	13	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HXD4_f1"	"HXD4_f1"	"HXD4_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HXD4"	"9606"	"ENTREZ"	"P09016"	"uniprot"	"Hsapiens"	8.00000000000001	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HXD9_f1"	"HXD9_f1"	"HXD9_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HXD9"	"9606"	"ENTREZ"	"P28356"	"uniprot"	"Hsapiens"	6	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-IKZF1_f1"	"IKZF1_f1"	"IKZF1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"IKZF1"	"9606"	"ENTREZ"	"Q13422"	"uniprot"	"Hsapiens"	60.4102564102565	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-INSM1_f1"	"INSM1_f1"	"INSM1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"INSM1"	"9606"	"ENTREZ"	"Q01101"	"uniprot"	"Hsapiens"	23.7690244895845	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-IRF1_si"	"IRF1_si"	"IRF1_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"IRF1"	"9606"	"ENTREZ"	"P10914"	"uniprot"	"Hsapiens"	130.184827586207	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-IRF2_f1"	"IRF2_f1"	"IRF2_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"IRF2"	"9606"	"ENTREZ"	"P14316"	"uniprot"	"Hsapiens"	83	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-IRF3_f1"	"IRF3_f1"	"IRF3_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"IRF3"	"9606"	"ENTREZ"	"Q14653"	"uniprot"	"Hsapiens"	44.0738916256159	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-IRF4_si"	"IRF4_si"	"IRF4_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"IRF4"	"9606"	"ENTREZ"	"Q15306"	"uniprot"	"Hsapiens"	1782.57421151023	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-IRF5_f1"	"IRF5_f1"	"IRF5_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"IRF5"	"9606"	"ENTREZ"	"Q13568"	"uniprot"	"Hsapiens"	5.00000000000001	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-IRF7_f1"	"IRF7_f1"	"IRF7_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"IRF7"	"9606"	"ENTREZ"	"Q92985"	"uniprot"	"Hsapiens"	39.8666666666667	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-IRF8_si"	"IRF8_si"	"IRF8_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"IRF8"	"9606"	"ENTREZ"	"Q02556"	"uniprot"	"Hsapiens"	36.7763864042934	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-IRF9_f1"	"IRF9_f1"	"IRF9_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"IRF9"	"9606"	"ENTREZ"	"Q00978"	"uniprot"	"Hsapiens"	5	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-ISL1_f1"	"ISL1_f1"	"ISL1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"ISL1"	"9606"	"ENTREZ"	"P61371"	"uniprot"	"Hsapiens"	13	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-ITF2_f1"	"ITF2_f1"	"ITF2_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"ITF2"	"9606"	"ENTREZ"	"P15884"	"uniprot"	"Hsapiens"	453.520260087218	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-JUNB_f1"	"JUNB_f1"	"JUNB_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"JUNB"	"9606"	"ENTREZ"	"P17275"	"uniprot"	"Hsapiens"	58.588007736944	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-JUND_f1"	"JUND_f1"	"JUND_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"JUND"	"9606"	"ENTREZ"	"P17535"	"uniprot"	"Hsapiens"	3987.79126357228	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-JUN_f1"	"JUN_f1"	"JUN_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"JUN"	"9606"	"ENTREZ"	"P05412"	"uniprot"	"Hsapiens"	2225.53600112813	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-KAISO_f1"	"KAISO_f1"	"KAISO_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"KAISO"	"9606"	"ENTREZ"	"Q86T24"	"uniprot"	"Hsapiens"	2010.45220495526	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-KLF15_f1"	"KLF15_f1"	"KLF15_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"KLF15"	"9606"	"ENTREZ"	"Q9UIH9"	"uniprot"	"Hsapiens"	11	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-KLF1_f1"	"KLF1_f1"	"KLF1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"KLF1"	"9606"	"ENTREZ"	"Q13351"	"uniprot"	"Hsapiens"	11	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-KLF3_f1"	"KLF3_f1"	"KLF3_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"KLF3"	"9606"	"ENTREZ"	"P57682"	"uniprot"	"Hsapiens"	8	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-KLF4_f2"	"KLF4_f2"	"KLF4_f2"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"KLF4"	"9606"	"ENTREZ"	"O43474"	"uniprot"	"Hsapiens"	3621.53896553797	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-KLF6_si"	"KLF6_si"	"KLF6_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"KLF6"	"9606"	"ENTREZ"	"Q99612"	"uniprot"	"Hsapiens"	11	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-KLF8_f1"	"KLF8_f1"	"KLF8_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"KLF8"	"9606"	"ENTREZ"	"O95600"	"uniprot"	"Hsapiens"	5.00000000000001	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-LEF1_f1"	"LEF1_f1"	"LEF1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"LEF1"	"9606"	"ENTREZ"	"Q9UJU2"	"uniprot"	"Hsapiens"	66.7439471753486	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-LHX2_f1"	"LHX2_f1"	"LHX2_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"LHX2"	"9606"	"ENTREZ"	"P50458"	"uniprot"	"Hsapiens"	7.00000000000001	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-LHX3_f1"	"LHX3_f1"	"LHX3_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"LHX3"	"9606"	"ENTREZ"	"Q9UBR4"	"uniprot"	"Hsapiens"	72.0000000000001	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-MAFA_f1"	"MAFA_f1"	"MAFA_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"MAFA"	"9606"	"ENTREZ"	"Q8NHW3"	"uniprot"	"Hsapiens"	27	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-MAFB_f1"	"MAFB_f1"	"MAFB_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"MAFB"	"9606"	"ENTREZ"	"Q9Y5Q3"	"uniprot"	"Hsapiens"	47.360658486527	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-MAFG_si"	"MAFG_si"	"MAFG_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"MAFG"	"9606"	"ENTREZ"	"O15525"	"uniprot"	"Hsapiens"	66.9697956408349	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-MAFK_si"	"MAFK_si"	"MAFK_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"MAFK"	"9606"	"ENTREZ"	"O60675"	"uniprot"	"Hsapiens"	15.9225352112676	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-MAF_f1"	"MAF_f1"	"MAF_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"MAF"	"9606"	"ENTREZ"	"O75444"	"uniprot"	"Hsapiens"	63.3977900552488	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-MAX_f1"	"MAX_f1"	"MAX_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"MAX"	"9606"	"ENTREZ"	"P61244"	"uniprot"	"Hsapiens"	2092	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-MAZ_f1"	"MAZ_f1"	"MAZ_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"MAZ"	"9606"	"ENTREZ"	"P56270"	"uniprot"	"Hsapiens"	30.7711069418386	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-MBD2_si"	"MBD2_si"	"MBD2_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"MBD2"	"9606"	"ENTREZ"	"Q9UBB5"	"uniprot"	"Hsapiens"	110.538750258739	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-MCR_f1"	"MCR_f1"	"MCR_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"MCR"	"9606"	"ENTREZ"	"P08235"	"uniprot"	"Hsapiens"	7.00000000000001	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-MECP2_f1"	"MECP2_f1"	"MECP2_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"MECP2"	"9606"	"ENTREZ"	"P51608"	"uniprot"	"Hsapiens"	118.604249076467	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-MEF2A_f1"	"MEF2A_f1"	"MEF2A_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"MEF2A"	"9606"	"ENTREZ"	"Q02078"	"uniprot"	"Hsapiens"	143	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-MEF2C_f1"	"MEF2C_f1"	"MEF2C_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"MEF2C"	"9606"	"ENTREZ"	"Q06413"	"uniprot"	"Hsapiens"	571.304847824209	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-MEF2D_f1"	"MEF2D_f1"	"MEF2D_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"MEF2D"	"9606"	"ENTREZ"	"Q14814"	"uniprot"	"Hsapiens"	11	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-MEIS1_f2"	"MEIS1_f2"	"MEIS1_f2"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"MEIS1"	"9606"	"ENTREZ"	"O00470"	"uniprot"	"Hsapiens"	39.3468559837729	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-MEIS2_do"	"MEIS2_do"	"MEIS2_do"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"MEIS2"	"9606"	"ENTREZ"	"O14770"	"uniprot"	"Hsapiens"	460.538557491799	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-MITF_f1"	"MITF_f1"	"MITF_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"MITF"	"9606"	"ENTREZ"	"O75030"	"uniprot"	"Hsapiens"	68.1548599670513	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-MLXPL_f1"	"MLXPL_f1"	"MLXPL_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"MLXPL"	"9606"	"ENTREZ"	"Q9NP71"	"uniprot"	"Hsapiens"	10	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-MSX2_f1"	"MSX2_f1"	"MSX2_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"MSX2"	"9606"	"ENTREZ"	"P35548"	"uniprot"	"Hsapiens"	11	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-MTF1_f1"	"MTF1_f1"	"MTF1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"MTF1"	"9606"	"ENTREZ"	"Q14872"	"uniprot"	"Hsapiens"	35.0292887029289	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-MYBB_f1"	"MYBB_f1"	"MYBB_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"MYBB"	"9606"	"ENTREZ"	"P10244"	"uniprot"	"Hsapiens"	9.00000000000001	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-MYB_f1"	"MYB_f1"	"MYB_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"MYB"	"9606"	"ENTREZ"	"P10242"	"uniprot"	"Hsapiens"	53.5087719298246	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-MYCN_si"	"MYCN_si"	"MYCN_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"MYCN"	"9606"	"ENTREZ"	"P04198"	"uniprot"	"Hsapiens"	468.458862739303	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-MYC_f1"	"MYC_f1"	"MYC_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"MYC"	"9606"	"ENTREZ"	"P01106"	"uniprot"	"Hsapiens"	341.265362264055	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-MYF6_f1"	"MYF6_f1"	"MYF6_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"MYF6"	"9606"	"ENTREZ"	"P23409"	"uniprot"	"Hsapiens"	7	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-MYOD1_f1"	"MYOD1_f1"	"MYOD1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"MYOD1"	"9606"	"ENTREZ"	"P15172"	"uniprot"	"Hsapiens"	77.0000000000001	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-MYOG_f1"	"MYOG_f1"	"MYOG_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"MYOG"	"9606"	"ENTREZ"	"P15173"	"uniprot"	"Hsapiens"	26.6666666666667	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-MZF1_f1"	"MZF1_f1"	"MZF1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"MZF1"	"9606"	"ENTREZ"	"P28698"	"uniprot"	"Hsapiens"	70.1898536660066	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-NANOG_f1"	"NANOG_f1"	"NANOG_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"NANOG"	"9606"	"ENTREZ"	"Q9H9S0"	"uniprot"	"Hsapiens"	5	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-NDF1_f1"	"NDF1_f1"	"NDF1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"NDF1"	"9606"	"ENTREZ"	"Q13562"	"uniprot"	"Hsapiens"	25.8823529411765	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-NF2L1_f1"	"NF2L1_f1"	"NF2L1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"NF2L1"	"9606"	"ENTREZ"	"Q14494"	"uniprot"	"Hsapiens"	112.297246013012	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-NF2L2_si"	"NF2L2_si"	"NF2L2_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"NF2L2"	"9606"	"ENTREZ"	"Q16236"	"uniprot"	"Hsapiens"	92	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-NFAC1_do"	"NFAC1_do"	"NFAC1_do"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"NFAC1"	"9606"	"ENTREZ"	"O95644"	"uniprot"	"Hsapiens"	424.531664814246	NA	NA	NA	"low- and high-throughput methods"	"23175603"
