"providerName"	"providerId"	"dataSource"	"geneSymbol"	"geneId"	"geneIdType"	"proteinId"	"proteinIdType"	"organism"	"sequenceCount"	"bindingSequence"	"bindingDomain"	"tfFamily"	"experimentType"	"pubmedID"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-COT2_f2"	"COT2_f2"	"COT2_f2"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"COT2"	"9606"	"ENTREZ"	"P24468"	"uniprot"	"Hsapiens"	78.9435825105785	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-CREB1_f1"	"CREB1_f1"	"CREB1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"CREB1"	"9606"	"ENTREZ"	"P16220"	"uniprot"	"Hsapiens"	285.676992930781	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-CREM_f1"	"CREM_f1"	"CREM_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"CREM"	"9606"	"ENTREZ"	"Q03060"	"uniprot"	"Hsapiens"	30.2363112391931	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-CRX_si"	"CRX_si"	"CRX_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"CRX"	"9606"	"ENTREZ"	"O43186"	"uniprot"	"Hsapiens"	52	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-CTCF_f2"	"CTCF_f2"	"CTCF_f2"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"CTCF"	"9606"	"ENTREZ"	"P49711"	"uniprot"	"Hsapiens"	2861.3079391238	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-CUX1_f1"	"CUX1_f1"	"CUX1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"CUX1"	"9606"	"ENTREZ"	"P39880"	"uniprot"	"Hsapiens"	97.0463215258855	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-CXXC1_si"	"CXXC1_si"	"CXXC1_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"CXXC1"	"9606"	"ENTREZ"	"Q9P0U4"	"uniprot"	"Hsapiens"	58.0000000000001	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-DBP_si"	"DBP_si"	"DBP_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"DBP"	"9606"	"ENTREZ"	"Q10586"	"uniprot"	"Hsapiens"	24.9315068493151	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-DDIT3_f1"	"DDIT3_f1"	"DDIT3_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"DDIT3"	"9606"	"ENTREZ"	"P35638"	"uniprot"	"Hsapiens"	41.1856746949593	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-DLX2_f1"	"DLX2_f1"	"DLX2_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"DLX2"	"9606"	"ENTREZ"	"Q07687"	"uniprot"	"Hsapiens"	5	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-DLX3_do"	"DLX3_do"	"DLX3_do"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"DLX3"	"9606"	"ENTREZ"	"O60479"	"uniprot"	"Hsapiens"	34.058542855117	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-E2F1_f2"	"E2F1_f2"	"E2F1_f2"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"E2F1"	"9606"	"ENTREZ"	"Q01094"	"uniprot"	"Hsapiens"	2135	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-E2F2_f1"	"E2F2_f1"	"E2F2_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"E2F2"	"9606"	"ENTREZ"	"Q14209"	"uniprot"	"Hsapiens"	8.00000000000001	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-E2F3_si"	"E2F3_si"	"E2F3_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"E2F3"	"9606"	"ENTREZ"	"O00716"	"uniprot"	"Hsapiens"	12	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-E2F4_do"	"E2F4_do"	"E2F4_do"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"E2F4"	"9606"	"ENTREZ"	"Q16254"	"uniprot"	"Hsapiens"	2075	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-E2F5_do"	"E2F5_do"	"E2F5_do"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"E2F5"	"9606"	"ENTREZ"	"Q15329"	"uniprot"	"Hsapiens"	12	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-E2F6_f1"	"E2F6_f1"	"E2F6_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"E2F6"	"9606"	"ENTREZ"	"O75461"	"uniprot"	"Hsapiens"	1863.97489533959	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-E2F7_f1"	"E2F7_f1"	"E2F7_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"E2F7"	"9606"	"ENTREZ"	"Q96AV8"	"uniprot"	"Hsapiens"	5	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-E4F1_f1"	"E4F1_f1"	"E4F1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"E4F1"	"9606"	"ENTREZ"	"Q66K89"	"uniprot"	"Hsapiens"	9.00000000000001	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-EGR1_f2"	"EGR1_f2"	"EGR1_f2"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"EGR1"	"9606"	"ENTREZ"	"P18146"	"uniprot"	"Hsapiens"	1887.02469187183	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-EGR2_si"	"EGR2_si"	"EGR2_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"EGR2"	"9606"	"ENTREZ"	"P11161"	"uniprot"	"Hsapiens"	20.6896551724138	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-EGR3_f1"	"EGR3_f1"	"EGR3_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"EGR3"	"9606"	"ENTREZ"	"Q06889"	"uniprot"	"Hsapiens"	8.00000000000001	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-EGR4_f1"	"EGR4_f1"	"EGR4_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"EGR4"	"9606"	"ENTREZ"	"Q05215"	"uniprot"	"Hsapiens"	6	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-EHF_si"	"EHF_si"	"EHF_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"EHF"	"9606"	"ENTREZ"	"Q9NZC4"	"uniprot"	"Hsapiens"	399.938412733312	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-ELF1_f1"	"ELF1_f1"	"ELF1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"ELF1"	"9606"	"ENTREZ"	"P32519"	"uniprot"	"Hsapiens"	76.0239436619721	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-ELF2_f1"	"ELF2_f1"	"ELF2_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"ELF2"	"9606"	"ENTREZ"	"Q15723"	"uniprot"	"Hsapiens"	9	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-ELF3_f1"	"ELF3_f1"	"ELF3_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"ELF3"	"9606"	"ENTREZ"	"P78545"	"uniprot"	"Hsapiens"	13.9034482758621	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-ELF5_f1"	"ELF5_f1"	"ELF5_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"ELF5"	"9606"	"ENTREZ"	"Q9UKW6"	"uniprot"	"Hsapiens"	39	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-ELK1_f1"	"ELK1_f1"	"ELK1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"ELK1"	"9606"	"ENTREZ"	"P19419"	"uniprot"	"Hsapiens"	160	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-ELK3_f1"	"ELK3_f1"	"ELK3_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"ELK3"	"9606"	"ENTREZ"	"P41970"	"uniprot"	"Hsapiens"	7.00000000000001	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-ELK4_f1"	"ELK4_f1"	"ELK4_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"ELK4"	"9606"	"ENTREZ"	"P28324"	"uniprot"	"Hsapiens"	54	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-ENOA_si"	"ENOA_si"	"ENOA_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"ENOA"	"9606"	"ENTREZ"	"P06733"	"uniprot"	"Hsapiens"	1998.00754799033	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-EOMES_f1"	"EOMES_f1"	"EOMES_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"EOMES"	"9606"	"ENTREZ"	"O95936"	"uniprot"	"Hsapiens"	76.7515928069079	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-EPAS1_si"	"EPAS1_si"	"EPAS1_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"EPAS1"	"9606"	"ENTREZ"	"Q99814"	"uniprot"	"Hsapiens"	12	NA	NA	NA	"low- and high-throughput methods"	"23175603"
